Internal Status,Site ID,Site Name,Longitude,Latitude,Site Type,Height Of Site,Account Name,Approved Report Date,Structural Report Comment,Overall Status,Total FPA,Total EPA,Foundation Status (Existing),Capacity Status (Existing),Structure Capacity (Existing),Epa (Existing),Bearing FOS (Existing),Capacity Status (+1 Operator/Additional),Structure Capacity (+1 Operator/Additional),Epa (+1 Operator/Additional),Bearing FOS (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Structure Capacity (+2 Operator/Additional),Epa (+2 Operator/Additional),Bearing FOS (+2 Operator/Additional),Capacity Status (Maximum),Structure Capacity (Maximum),Epa (Maximum),Bearing (Maximum),QA Status,Site Condition,Capacity Status (Existing),Leg Member Stress (Existing),Brace Member Stress (Existing),Horz Member Stress (Existing),Leg Bolt Stress (Existing),Brace Bolt Stress (Existing),Horz Bolt Stress (Existing),Wires Stress (Existing),Foundation (Existing),HDB (Existing),Capacity Status (+1 Operator/Additional),Leg Member Stress (+1 Operator/Additional),Brace Member Stress (+1 Operator/Additional),Horz Member Stress (+1 Operator/Additional),Leg Bolt Stress (+1 Operator/Additional),Brace Bolt Stress (+1 Operator/Additional),Horz Bolt Stress (+1 Operator/Additional),Wires Stress (+1 Operator/Additional),Foundation(+1 Operator/Additional),HDB (+1 Operator/Additional),Capacity Status (+2 Operator/Additional),Leg Member Stress (+2 Operator/Additional),Brace Member Stress (+2 Operator/Additional),Horz Member Stress (+2 Operator/Additional),Leg Bolt Stress (+2 Operator/Additional),Brace Bolt Stress (+2 Operator/Additional),Horz Bolt Stress (+2 Operator/Additional),Wires Stress (+2 Operator/Additional),Foundation(+2 Operator/Additional),HDB (+2 Operator/Additional),BOM Weight (Legs),BOM Weight (Brace),BOM Type,Foundation Type,Leg Steel Grade,Brace Steel Grade ,Site Risk Rating,Audit Status,Topography,Exposure,Actual Condition Risk,Site/Tower Risk Profile,Population,Wind Speed,Master Comment,Superseded Structural Reports,Pending Structural Reports,Approved Structural Reports,Site Report Received,Structural Report Created,Latest Site Audit Uploaded Date,Latest Site Drawing Set Uploaded Date, Legacy ID, Site Audit Description, Modelling Program
Status Set,TNG069,Mwakizaro,39.0874,-5.09076,Structure-Lattice Tower,36,Helios Tanzania,28/06/2018,V4_Structural Analysis_PMcC.,Green,,,NI,Green,97,9.8,,Amber,109,12.9,,Amber,124,16.1,,NotSet,,,,Pass,Green,Green,56,97,67,48,48,40,,,23,Amber,66,109,75,56,55,46,,,27,Amber,73,124,85,62,62,50,,,31,,,,NI,275,275,,DelmecInspected,1,C,5,2,2,30,,5,0,1,30/04/2018,28/06/2018,28/06/2018,25/09/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG070,Nkumba,38.72654,-5.15259,Structure-Lattice Tower,34,Helios Tanzania,8/11/2018,"V1_Structural Analysis_SC. 	",Red,,,Green,Red,191,8.4,,Red,225,11.6,,Red,263,14.7,,NotSet,,,,,Green,Red,49,191,110,39,43,35,,2.58,19,Red,49,225,129,47,50,41,,2.17,23,Red,56,263,146,52,57,47,,1.93,26,0,31.1,+1 Operator,Piled,355,275,51,DelmecInspected,1,C,5,5,4,30,,2,0,1,13/10/2018,8/11/2018,2/12/2018,2/1/2019,1020 SPA,TSS Audit,MS Tower v6
Decommissioned,TNG071,Korogwe Town,38.45242,-5.15736,Structure-Lattice Tower,26,Helios Tanzania,15/01/2018,"V2_Structural Analysis_MM. 	**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 1.9x0.2x0.1 @24m az 110/203/340deg, 3no. RRUs 0.35x0.298x0.128m @24m**",Amber,,,Green,Green,61,6.8,,Green,71,9.9,,NotSet,,,,NotSet,,,,,Amber,Green,51,61,13,53,36,7,,12.62,23,Green,60,71,13,62,42,7,,10.86,27,NotSet,,,,,,,,,,,,,Raft,355,275,54,DelmecInspected,1,C,4,5,2,30,,2,0,1,15/12/2017,15/01/2018,12/1/2018,19/02/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG072,Magoma_Songea,38.57821,-4.87398,Structure-Lattice Tower,45,Helios Tanzania,26/05/2023,"V2_Structural Analysis_E.C. Members overstressed. Tower strengthened on site to v2.0 Delmec report. QA Audit 28/04/2023.	",Amber,,,NI,Green,98,6.4,,NotSet,,,,NotSet,,,,NotSet,,,,Pass,Amber,Green,98,85,37,85,71,12,,,46,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,275,235,,DelmecInspected,1,C,4,4,1,30,,3,0,1,28/04/2023,26/05/2023,9/2/2018,21/02/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG073,Vugiri,38.45581,-5.0666,Structure-Lattice Tower,45,Helios Tanzania,13/02/2019,Tower strengthened on site to v2.0 Delmec report. QA Audit 08/11/2018.,Green,,,NI,Green,98,9.2,,Amber,119,12.3,,Amber,133,15.5,,NotSet,,,,Pass,Green,Green,97,98,60,93,89,29,,,NI,Amber,119,113,68,111,97,33,,,NI,Amber,133,129,75,124,106,36,,,NI,,,,NI,355/275,275,,DelmecInspected,3,C,5,1,3,30,,3,0,1,8/11/2018,13/02/2019,27/08/2018,5/3/2018,,TSS Audit,MS Tower v6
Status Set,TNG075,Gombelo,38.94916,-4.95188,Structure-Lattice Tower,45,Helios Tanzania,12/2/2018,"V2.0_Structural Analysis_AV. 	",Green,,,NI,Green,91,9.2,,Green,100,12.4,,Amber,112,15.5,,NotSet,,,,,Green,Green,60,91,13,50,42,6,,,82,Green,70,100,15,58,46,8,,,97,Amber,78,112,16,64,50,9,,,NI,,,,NI,355,355,,DelmecInspected,1,C,5,4,1,30,,2,0,1,4/2/2018,12/2/2018,8/2/2018,21/02/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG076,Mjesani,38.88139,-5.03217,Structure-Lattice Tower,60,Helios Tanzania,17/02/2017,"V2.0_Structural Analysis_T.O.B. Members overstressed. Equipment Added: 3no. GSM Antennas 2.25x0.58x0.1m @58/58/58m, 1no. MW Dish 1.2m @55m [RFI 10/12/17]",Amber,,,NI,Amber,128,8.5,,Amber,141,11.7,,Red,155,14.8,,NotSet,,,,,Green,Amber,76,128,27,58,38,16,,,39,Amber,86,141,31,66,42,18,,,44,Red,96,155,34,73,45,20,,,49,,632.7,,NI,235,235,,DelmecInspected,1,C,5,4,3,30,,3,0,1,17/08/2016,17/02/2017,22/08/2016,20/09/2016,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG077,Mkuzi_Muheza,38.82983,-5.24178,Structure-Lattice Tower,60,Helios Tanzania,6/7/2018,V2_Structural Analysis_PK. Members overstressed,Red,,,Green,Red,165,12.3,,Red,173,15.5,,Red,181,18.6,,NotSet,,,,Pass,Amber,Red,67,165,144,66,72,46,,3.8,34,Red,75,173,155,75,77,48,,3.38,39,Red,82,181,165,83,82,51,,3.09,44,0,1126.3,Existing,Piled,355,275,46,DelmecInspected,3,C,4,4,1,30,,3,0,1,17/04/2018,6/7/2018,7/5/2018,15/08/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG086,Misozwe,38.7751,-5.0603,Structure-Lattice Tower,35.1,Helios Tanzania,6/3/2019,"V1_Structural Analysis_AI. Members overstressed.	",Amber,,,NI,Amber,144,6,,Red,166,9.2,,Red,184,12.3,,NotSet,,,,,Green,Amber,112,144,11,73,67,14,,,NI,Red,135,166,13,88,83,16,,,NI,Red,154,184,15,101,93,18,,,NI,,,,NI,355,275,,DelmecInspected,3,C,5,5,2,30,,3,0,1,9/2/2019,6/3/2019,6/3/2019,19/03/2019,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG087,Mtimbwani,39.09214,-4.95475,Structure-Lattice Tower,45,Helios Tanzania,21/03/2017,"V2_Structural Analysis_MD.  Equipment Added: 3no. GSM Antennas 2.25x0.58x0.1m @40/40/40m, 1no. MW Dish 1.2m @37m [RFI 12/12/17]	**RFI from ""Inventory Database for Q3"" Added:6no. RRUs 0.351x0.298x0.128m @41m, 6no. RRUs 0.35x0.29x0.12m @40.1m**",Amber,,,NI,Amber,122,20.5,,Amber,133,23.6,,NotSet,,,,NotSet,,,,,Amber,Amber,122,117,18,59,64,8,,,NI,Amber,133,128,20,64,70,9,,,NI,NotSet,,,,,,,,,,,,,NI,235,235,,DelmecInspected,1,C,4,1,3,30,,2,0,1,15/12/2016,21/03/2017,15/02/2017,10/5/2017,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG088,Muhinduro,38.79769,-4.91945,Structure-Lattice Tower,45.1,Helios Tanzania,28/02/2019,V2_Structural Analysis_AI,Amber,,,NI,Green,76,5.3,,Green,89,8.5,,Green,98,11.6,,NotSet,,,,,Amber,Green,56,76,21,38,36,6,,,70,Green,66,89,25,44,53,7,,,84,Green,74,98,28,50,58,8,,,95,,,,NI,355,275,,DelmecInspected,1,C,2,4,3,30,,2,0,1,12/2/2019,28/02/2019,6/3/2019,19/03/2019,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG094,Kiluluduga,39.12514,-4.77247,Structure-Lattice Tower,60,Helios Tanzania,8/2/2024,V5.0_Structural Analysis_HK. Members overstressed.,Amber,21.92308945,28.39200572,Green,Amber,129,27.5,,Amber,144,31.4,,Red,158,35.4,,NotSet,,,,Pass,Amber,Amber,129,120,86,95,94,36,,1.79,97,Amber,144,132,94,105,100,39,,1.64,NI,Red,158,144,103,116,106,43,,1.52,NI,,,,Raft,355/235,355/235,47,DelmecInspected,3,C,4,1,3,30,,6,0,1,5/2/2024,8/2/2024,15/11/2021,30/09/2016,1020 SPA,Completion Packs,MS Tower v6
Status Set,TNG101,Kwakifua,38.73984,-5.2235,Structure-Lattice Tower,60,Helios Tanzania,19/03/2015,"V3_Delmec Site Audit_TA_Strengthen sections 2, 4 and 5 main bracing membersEquipment added: 3no. GSM Antennas 2.5x0.27x0.15m @31.3/31.3/31.3m, 9no. RRUs 0.6x0.3x0.3m @31.3/31.3/31.3/31.3/31.3/31.3/32.3/32.3/32.3m, 8no. MW Dishes 0.9/1.2/1.2/1.2/1.2/1.2/1.2/1.2m @27.6/35/43/23.8/19.4/28.4/35.2/43m  [RFI 04/02/19]Equipment added: 3no. RRUs 0.5x0.3x0.3m @33.4/33.4/33.4m,   [RFI 04/02/19]Equipment added 3no. GSM Antennas 2.769x0.429x0.196 @57m az 0/120/240deg, 12no. RRUs 0.4x0.3x0.1m @57m Behind Antenna, 1 No MW Dish 1.2m@55m [RFI 20/08/21]",Red,,,NI,Red,157,39.6,,NotSet,,,,NotSet,,,,NotSet,,,,Fail,Green,Red,57,157,112,55,63,31,,,NI,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,835.18,,NI,345,248,,DelmecInspected,3,C,5,1,3,30,,3,0,1,19/03/2015,19/03/2015,,,1020 SPA,,MS Tower v6
Status Set,TNG111,Desouza,39.11087,-5.07034,Structure-Lattice Tower,50,Helios Tanzania,31/10/2018,"V2_Structural Analysis_DK. 	",Amber,,,Green,Green,78,5.3,,Green,84,8.4,,Green,91,11.6,,NotSet,,,,,Amber,Green,48,78,53,28,28,19,,4.54,63,Green,56,84,68,33,31,24,,3.82,75,Green,63,91,81,37,34,29,,3.39,84,,,,IndividualFooting,355,235,47,DelmecInspected,1,D,4,1,1,30,No photographs,2,0,1,27/07/2018,31/10/2018,18/10/2018,14/02/2019,1020 SPA,Structural Survey Audit,MS Tower v6
Maintained,TNG112,Tangatv,39.097,-5.0737,Structure-Guyed Mast,35,Helios Tanzania,,,NotSet,,,NotSet,NotSet,,,,NotSet,,,,NotSet,,,,NotSet,,,,,NotSet,NotSet,,,,,,,,,,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,,,,Unaudited,,,,,,,,0,0,0,01/01/0001,01/01/0001,,,,,
Status Set,TNG113,Ngamiani_Kati,39.10442,-5.07856,Rooftop-Ballast Pole,12.2,Helios Tanzania,11/4/2022,V2.0_Structural Analysis_BP. Rooftop poles strengthened on site to v2.0 Delmec report. QA Audit 22/03/2022. ,Green,,,NI,Green,,6.8,,Green,96,10.5,,NotSet,,14.1,,NotSet,,,,Pass,Green,Green,,,,,,,,,NI,Green,96,83,,,52,,,,NI,NotSet,,,,,,,,,NI,,,,RoofMounted,253,275/355,,DelmecInspected,1,C,5,2,2,30,,3,0,1,22/03/2022,11/4/2022,3/11/2017,12/12/2017,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG114,Chumbageni,39.08707,-5.07305,Structure-Lattice Tower,35,Helios Tanzania,31/01/2018,"V2_Structural Analysis_E.C. 	",Green,,,NI,Green,68,7.8,,Green,82,10.9,,Green,94,14.1,,NotSet,,,,,Green,Green,68,43,16,28,14,11,,,66,Green,82,50,23,34,20,16,,,83,Green,94,56,28,39,23,20,,,96,,,,NI,275,275,,DelmecInspected,1,C,5,2,2,30,,2,0,1,27/01/2018,31/01/2018,30/01/2018,6/3/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG115,New Nguvumali,39.07398,-5.07617,Structure-Lattice Tower,35,Helios Tanzania,6/2/2018,V2_Structural Analysis_BP. ,Amber,,,NI,Green,80,7.8,,Green,95,11,,Amber,106,14.1,,NotSet,,,,,Amber,Green,80,44,20,33,22,9,,,81,Green,95,63,27,39,35,12,,,98,Amber,106,63,31,44,35,14,,,NI,,,,NI,275,235,,DelmecInspected,1,C,3,2,2,30,,2,0,1,30/01/2018,6/2/2018,2/2/2018,19/02/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG116,Msambweni,39.09919,-5.09113,Structure-Lattice Tower,29,Helios Tanzania,31/01/2018,"V2.0_Structural Analysis_AV. 	",Green,,,NI,Green,64,8.5,,Green,75,11.7,,Green,84,14.8,,NotSet,,,,,Green,Green,64,43,15,27,14,11,,,66,Green,75,48,19,31,17,14,,,78,Green,84,55,23,35,19,17,,,89,,,,NI,275,275,,DelmecInspected,1,C,5,2,2,30,,2,0,1,22/01/2018,31/01/2018,30/01/2018,19/02/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG117,Mwangombe,39.09041,-5.11137,Structure-Lattice Tower,35,Helios Tanzania,29/01/2018,"V3_Structural Analysis_MM. **RFI from ""Inventory Database for Q4"" Added: 3no. GSM Antennas 2.5x0.4x0.2 @22.6m, 6no. RRUs 0.4x0.3x0.1m @21.3m**Equipment added: 3no. GSM Antennas 2.4x0.4x0.1 @33m,3no. RRUs 0.4x0.3x0.1 @33.4m,1no. MW Dishes 1.2m @28m [RFI 13/03/2020]Equipment added: 3no. GSM Antennas 2.5x0.4x0.2 @23.8m,6no. RRUs 0.4x0.3x0.1 @22.4m, removed 3no. GSM Antennas 1.3x0.2x0.10m @22.6m, [RFI 01/04/2020]",Amber,,,NI,Amber,112,15.5,,NotSet,,,,NotSet,,,,NotSet,,,,Fail,Green,Amber,112,61,32,46,34,14,,,NI,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,275,275,,DelmecInspected,1,C,5,2,2,30,,4,0,1,19/01/2018,29/01/2018,26/01/2018,1/2/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG118,Teule,38.79196,-5.16494,Structure-Lattice Tower,61,Helios Tanzania,22/01/2018,"V2_Structural Analysis_LB. 	",Green,,,NI,Green,69,4.3,,Green,74,7.4,,Green,79,10.6,,NotSet,,,,,Green,Green,55,69,16,25,37,8,,,39,Green,63,74,18,30,39,13,,,46,Green,69,79,20,35,42,15,,,51,,,,NI,275,275,,DelmecInspected,1,C,5,4,1,30,,2,0,1,13/01/2018,22/01/2018,18/01/2018,25/01/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG119,Masuguru,38.78442,-5.18187,Structure-Lattice Tower,34.8,Helios Tanzania,27/06/2018,V2.0_Structural Analysis_PK. ,Amber,,,NI,Green,62,5.8,,Green,78,8.9,,Green,91,12.1,,NotSet,,,,,Amber,Green,62,43,21,28,21,15,,,70,Green,78,58,28,35,30,20,,,88,Green,91,66,33,41,35,24,,,NI,,,,NI,275,275,,DelmecInspected,1,C,4,5,2,30,No photographs,2,0,1,16/05/2018,27/06/2018,5/6/2018,11/7/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG121,Korogwe,38.45029,-5.14695,Structure-Lattice Tower,35,Helios Tanzania,9/10/2018,"V2_Structural Analysis_LAG. 	Equipment added 3no. GSM Antennas 2.769x0.429x0.196 @32m az 0/120/240deg, 12no. RRUs 0.4x0.3x0.1m @32m Behind Antenna, 1 No MW Dish 1.2m@30m [RFI 13/08/21]",Amber,,,NI,Green,79,9.8,,NotSet,,,,NotSet,,,,NotSet,,,,,Amber,Green,79,63,16,33,33,24,,,90,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,355,275,,DelmecInspected,1,C,4,5,2,30,,2,0,1,17/08/2018,9/10/2018,4/10/2018,8/2/2019,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG122,Sahare,39.12197,-5.08227,Structure-Lattice Tower,34.8,Helios Tanzania,13/02/2018,"V3_Structural Analysis_PK. Members overstressed.	**RFI from ""Inventory Database for Q4"" Added: 3no. GSM Antennas 2.5x0.4x0.2 @22.3m, 6no. RRUs 0.4x0.3x0.1m @21m**",Amber,,,NI,Amber,143,15.6,,Red,157,18.7,,NotSet,,,,NotSet,,,,,Green,Amber,143,61,37,56,33,27,,,NI,Red,157,66,42,61,37,30,,,NI,NotSet,,,,,,,,,,,257.5,Existing,NI,275,275,,DelmecInspected,1,C,5,2,2,30,no photographs,3,0,1,27/01/2018,13/02/2018,13/02/2018,20/02/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG123,Marambwe,38.29031,-4.89092,Structure-Lattice Tower,45,Helios Tanzania,6/8/2018,"V2_Structural Analysis_EH. 	**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 2x0.26x0.14 @41m az 110/230/350deg, 3no. RRUs 0.351x0.298x0.128m @41m**",Amber,,,NI,Green,63,5.3,,Green,73,8.4,,NotSet,,,,NotSet,,,,,Amber,Green,63,42,21,27,20,15,,,58,Green,73,47,26,31,23,19,,,68,NotSet,,,,,,,,,,,,,NI,275,235,,DelmecInspected,1,C,4,4,1,30,,2,0,1,27/06/2018,6/8/2018,2/8/2018,4/2/2019,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG125,Mtae,38.23294,-4.51803,Structure-Lattice Tower,45,Helios Tanzania,18/02/2019,"Tower strengthened on site to v3.0 Delmec report. QA Audit 08/01/2019.**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 1.35x0.17x0.08 @40m az 40/160/260deg, 1no. MW Dish 0.6m @42m az 180deg**Equipment added: 3no. GSM Antennas 2.743x0.262x0.15 @40m,3no. RRUs 0.4x0.3x0.1 @40m,1no. MW Dishes 0.6m @37m [RFI 19/02/2020]",Amber,,,Green,Amber,102,13.4,,NotSet,,,,NotSet,,,,NotSet,,,,Pass,Green,Amber,86,102,44,49,81,25,,2.14,NI,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,Raft,355/275,275/235,46,DelmecInspected,2,C,5,1,3,30,,4,0,1,8/1/2019,18/02/2019,19/02/2018,17/04/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG126,Tamta,39.10461,-5.08698,Structure-Lattice Tower,25.11,Helios Tanzania,28/06/2018,"V1_Structural Analysis_PO. 	",Green,,,NI,Green,71,3.1,,Green,93,6.3,,Amber,108,9.4,,NotSet,,,,,Green,Green,71,71,3,29,32,5,,,47,Green,93,87,4,39,43,6,,,63,Amber,108,103,5,45,53,7,,,74,,,,NI,235,275,,DelmecInspected,1,C,5,2,2,30,,2,0,1,28/04/2018,28/06/2018,28/06/2018,16/07/2018,1020 SPA,Structural Survey Audit,MS Tower v6
Status Set,TNG127,Maua Inn,39.10115,-5.07842,Rooftop-Ballast Pole,14.6,Helios Tanzania,17/06/2019,"V1.0_SA_AI Members overstressedEquipment added: 3no. RRUs 0.351x0.298x0.128 @19m, [RFI 19/12/2019]Equipment added: 1no. MW Dishes 0.3m @18m [RFI 18/02/2020]Strengthening has been done according to Contactor/ Manufacturer's drawings, no Delmec SD - QA report 04/12/2022. New survey audit and reanalysis are recommended.",Red,,,NI,Red,222,4.1,,NotSet,,5.1,,NotSet,,,,NotSet,,,,Pass,Amber,Red,49,222,,,124,,,,107,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,RoofMounted,235,235,,DelmecInspected,1,C,3,2,2,30,,1,0,1,6/10/2017,17/06/2019,26/10/2017,12/12/2017,141 EBTS,Structural Survey Audit,MS Tower v6
Status Set,TNG128,Maramba Town,38.80299,-4.86973,Structure-Lattice Tower,37.6,Helios Tanzania,24/10/2014,Tower is overstressed. ,Amber,,,Green,NotSet,,,,Amber,107,,,NotSet,,,,NotSet,,,,,Amber,NotSet,,,,,,,,,,Amber,48,107,21,55,51,,,4.23,18,NotSet,,,,,,,,,,,289.18,,NI,345,248,,T2Inspected,1,C,3,5,2,30,No Photographs,1,0,1,24/10/2014,24/10/2014,,,1020 SPA,,MS Tower v6
Status Set,TNG129,Mkinga,39.12277,-4.84129,Structure-Lattice Tower,45,Helios Tanzania,21/03/2016,"v1.0_(Structural Analysis)_JK_No members overstressed **RFI from ""Inventory Database for Q3"" Added: 6no. RRUs 0.35x0.298x0.128m @38m**",Green,,,NI,Green,72,7.2,,Green,81,10.3,,NotSet,,,,NotSet,,,,,Green,Green,42,72,24,41,39,10,,,41,Green,47,81,27,46,43,11,,,46,NotSet,,,,,,,,,,,,,NI,275,275,,DelmecInspected,1,C,5,1,3,30,,0,0,1,27/02/2016,21/03/2016,4/3/2016,23/05/2016,141 EBTS,Structural Survey Audit,MS Tower v6
Status Set,TNG130,Magaoni,39.10133,-5.10193,Structure-Lattice Tower,24.4,Helios Tanzania,21/03/2016,"v1.0_Structural analysis_GF_No members are overstressed**RFI from ""Inventory Database for Q3"" Added: 6no. RRUs 0.35x0.298x0.128m @18.7m**Equipment added: 1no. MW Dishes 0.3m @18m [RFI 13/01/2020]",Green,,,NI,Green,,,,Green,82,,,NotSet,,,,NotSet,,,,,Green,Green,,,,,,,,,,Green,82,74,4,44,49,6,,,,NotSet,,,,,,,,,33,,,,NI,275,275,,DelmecInspected,1,B,5,2,2,30,,0,0,1,26/02/2016,21/03/2016,3/3/2016,9/5/2016,141 EBTS,Structural Survey Audit,MS Tower v6
Status Set,TNG131,Mazinde,38.21234,-4.80445,Structure-Lattice Tower,45,Helios Tanzania,16/02/2018,"V2_Structural Analysis_E.C. Members overstressed.	**RFI from ""Inventory Database for Q3"" Added: 3no. GSM Antennas 2.1x0.25x0.15 @49m az 100/190/270deg, 1no. MW Dish 1.2m @48m az 200deg**",Amber,,,NI,Amber,128,15.4,,Amber,143,18.6,,NotSet,,,,NotSet,,,,,Green,Amber,108,128,39,73,57,10,,,NI,Amber,118,143,43,79,63,11,,,NI,NotSet,,,,,,,,,,-0.01,795,existing +1op,NI,275,275,,DelmecInspected,1,C,5,4,3,30,,1,0,1,10/2/2018,16/02/2018,13/02/2018,26/02/2018,141 EBTS,Structural Survey Audit,MS Tower v6
Status Set,TNG332,Changa,39.09438,-5.07162,Structure-Lattice Tower,23,Helios Tanzania,11/6/2018,"V2_Structural Analysis_AM. 	Equipment added: 1no. MW Dishes 0.3m @25m [RFI 17/02/2020]",Amber,,,NI,Green,44,4.5,,Green,53,7.7,,Green,63,10.8,,NotSet,,,,,Amber,Green,29,44,3,13,10,2,,,36,Green,35,53,3,16,13,3,,,46,Green,40,63,4,18,15,4,,,54,,,,NI,275,275,,DelmecInspected,1,C,3,3,2,30,,1,0,1,24/04/2018,11/6/2018,11/5/2018,11/7/2018,141 EBTS,Structural Survey Audit,MS Tower v6
Status Set,TNG333,Mzingani,39.11769,-5.08266,Structure-Lattice Tower,45,Helios Tanzania,21/03/2016,v1.0_(Structural Analysis)_JK_No members overstressed ,Green,,,NI,Green,,,,Green,,,,Green,74,,,NotSet,,,,Pass,Green,Green,,,,,,,,,,Green,,,,,,,,,,Green,53,74,13,36,36,5,,,37,,,,NI,355,275,,DelmecInspected,1,C,5,1,1,30,,0,0,1,26/02/2016,21/03/2016,2/5/2017,23/05/2016,141 EBTS,Maintenance Inspection Audit,MS Tower v6
Status Set,TNG334,Majani_Mapana,39.07618,-5.08268,Structure-Lattice Tower,25,Helios Tanzania,2/2/2018,"V2_Structural Analysis_MD. 	Equipment Added: 3no. GSM Antennas 2.07x0.36x0.18m @24/24/24m [RFI 07/11/16]",Amber,,,NI,Amber,113,9.5,,Amber,132,12.7,,Amber,146,15.9,,NotSet,,,,,Green,Amber,113,89,9,59,59,8,,,87,Amber,132,107,11,70,70,9,,,NI,Amber,146,119,11,76,79,10,,,NI,0,261.8,,NI,275,275,,DelmecInspected,1,C,5,2,4,30,,1,0,1,31/01/2018,2/2/2018,1/2/2018,8/2/2018,141 EBTS,Maintenance Inspection Audit,MS Tower v6
Status Set,TNG335,Masuguru_Kkkt,38.78836,-5.17812,Structure-Lattice Tower,45,Helios Tanzania,17/02/2016,v1.0_Structural Analysis_GF,Green,,,NI,Green,,,,Green,,,,Green,72,,,NotSet,,,,,Green,Green,,,,,,,,,,Green,,,,,,,,,,Green,67,72,13,45,35,,,,35,,,,NI,275,275,,DelmecInspected,1,C,5,4,1,30,,0,0,1,17/02/2016,17/02/2016,28/01/2016,12/4/2016,141 EBTS,Structural Survey Audit,MS Tower v6
Status Set,TNG336,Mabawa,39.096,-5.0847,Structure-Lattice Tower,45,Helios Tanzania,15/03/2016,v1.0_Structural Analysis_GF_No members are overstressed,Green,,,NI,Green,,,,Green,,,,Green,79,,,NotSet,,,,,Green,Green,,,,,,,,,,Green,,,,,,,,,,Green,41,79,12,30,23,,,,14,,,,NI,275,275,,DelmecInspected,1,C,5,1,1,30,,0,0,1,15/03/2016,15/03/2016,5/3/2016,10/5/2016,141 EBTS,Structural Survey Audit,MS Tower v6
Status Set,TNG339,MARANGU,39.02197,-5.21494,Structure-Lattice Tower,48.93,Helios Tanzania,5/12/2016,V1.0_Structural Analysis_MM_No members overstressed,Amber,,,Green,Green,52,2.2,,Green,61,5.4,,Green,67,8.5,,NotSet,,,,,Amber,Green,45,46,28,52,25,16,,2.52,25,Green,55,50,33,61,27,19,,2.13,31,Green,58,55,36,67,30,24,,1.93,35,,,,IndividualFooting,235,235,48,DelmecInspected,1,C,3,1,1,30,,0,0,1,21/11/2016,5/12/2016,16/11/2016,29/11/2016,,Structural Survey Audit,MS Tower v6
Status Set,TNG341,Seuta,38.02818,-5.42605,Structure-Lattice Tower,45,Helios Tanzania,11/12/2017,"Tower strengthened on site to v2.0 Delmec report. QA Audit 11/12/2017Equipment added: 3no. GSM Antennas 2.4x0.4x0.1 @43m,3no. RRUs 0.4x0.3x0.1 @43.4m,1no. MW Dishes 1.2m @38m [RFI 13/03/2020]",Amber,,,NI,Amber,110,10.8,,NotSet,,,,NotSet,,,,NotSet,,,,Pass,Amber,Amber,87,110,38,94,77,11,,,60,NotSet,,,,,,,,,,NotSet,,,,,,,,,,,,,NI,275,275,,DelmecInspected,1,C,3,4,1,30,,2,0,1,11/12/2017,11/12/2017,26/09/2017,14/09/2017,141 EBTS,TSS Audit,MS Tower v6
